ada,protocolNumber,issueDate,submissionTimestamp,documentUrl,subject,decisionTypeUid,decisionTypeLabel,organizationUid,organizationLabel
ΡΜΒΗ46Ψ842-5Μ7,386555,05/04/2022 16:13:17,05/04/2022 17:20:24,https://diavgeia.gov.gr/doc/ΡΜΒΗ46Ψ842-5Μ7,Αναθεώρηση Οικ. Αδείας ME προέγκριση ή βεβαίωση (ν.4759/2020): ΕΡΓΑΣΙΕΣ ΕΣΩΤΕΡΙΚΗΣ ΔΙΑΡΡΥΘΜΙΣΗΣ ΠΡΟΣΩΡΙΝΗΣ ΑΛΛΑΓΗΣ ΧΡΗΣΗΣ ΩΣ ΚΕΝΤΡΟ ΕΝΗΜΕΡΩΣΗΣ ΚΑΙ ΕΚΘΕΣΙΑΚΟΥ ΧΩΡΟΥ ΤΟΥ ΧΑΡΑΚΤΗΡΙΣΜΕΝΟΥ ΝΕΩΤΕΡΟΥ ΜΝΗΜΕΙΟΥ ΥΠΟΣΤΕΓΟΥ Γ' ΤΗΣ ΠΟΛΕΜΙΚΗΣ ΑΕΡΟΠΟΡΙΑΣ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΑΡΚΟΥ ΠΡΑΣΙΝΟΥ ΚΑΙ ΑΝΑΨΥΧΗΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ- ΑΓ. ΚΟΣΜΑ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
Ψ1ΑΡ46Ψ842-ΝΘΧ,508685,20/10/2022 14:53:53,20/10/2022 16:07:41,https://diavgeia.gov.gr/doc/Ψ1ΑΡ46Ψ842-ΝΘΧ,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: “ΕΚΤΕΛΕΣΗ ΓΕΩΤΕΧΝΙΚΩΝ ΚΑΙ ΓΕΩΦΥΣΙΚΩΝ ΕΡΕΥΝΩΝ, ΓΕΩΤΕΧΝΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΚΑΙ ΓΕΩΤΕΧΝΙΚΕΣ ΜΕΛΕΤΕΣ ΘΕΜΕΛΙΩΣΗΣ ΣΤΟ  ΜΗΤΡΟΠΟΛΙΤΙΚΟ ΠΟΛΟ ΕΛΛΗΝΙΚΟΥ – ΑΓ. ΚΟΣΜΑ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
92ΙΦ46Ψ842-ΙΙΡ,548733,07/12/2022 14:48:06,07/12/2022 15:04:54,https://diavgeia.gov.gr/doc/92ΙΦ46Ψ842-ΙΙΡ,Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): Νέες Αθλητικές Εγκαταστάσεις Του Μητροπολιτικού Πάρκου Πράσινου Και Αναψυχής του Μητροπολιτικού Πόλου Ελληνικού – Αγίου Κοσμά,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
Ρ9ΗΖ46Ψ842-ΜΚΨ,566321,23/12/2022 14:42:39,25/12/2022 15:12:11,https://diavgeia.gov.gr/doc/Ρ9ΗΖ46Ψ842-ΜΚΨ,Οικοδομική Άδεια (ν.4759/2020): Νέες Αθλητικές Εγκαταστάσεις Του Μητροπολιτικού Πάρκου Πράσινου Και Αναψυχής του Μητροπολιτικού Πόλου Ελληνικού – Αγίου Κοσμά,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
6ΜΗΛ46Ψ842-Δ3Κ,535954,23/11/2022 14:07:10,23/11/2022 16:19:32,https://diavgeia.gov.gr/doc/6ΜΗΛ46Ψ842-Δ3Κ,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: “ΕΚΤΕΛΕΣΗ ΓΕΩΤΕΧΝΙΚΩΝ ΚΑΙ ΓΕΩΦΥΣΙΚΩΝ ΕΡΕΥΝΩΝ, ΓΕΩΤΕΧΝΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΚΑΙ ΓΕΩΤΕΧΝΙΚΕΣ ΜΕΛΕΤΕΣ ΘΕΜΕΛΙΩΣΗΣ ΓΙΑ ΤΟ ΕΡΓΟ « ΠΑΡΑΧΩΡΗΣΗ ΆΔΕΙΑΣ ΛΕΙΤΟΥΡΓΙΑΣ ΕΠΙΧΕΙΡΗΣΗΣ ΚΑΖΙΝΟ(ΕΚΑΖ) ΕΥΡΕΟΣ ΦΑΣΜΑΤΟΣ ΔΡΑΣΤΗΡΙΟΤΗΤΩΝ ΣΤΟΝ ΜΗΤΡΟΠΟΛΙΤΙΚΟ ΠΟΛΟ ΕΛΛΗΝΙΚΟΥ-ΑΓΙΟΥ ΚΟΣΜΑ» ”",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
61Ν646Ψ842-397,536186,23/11/2022 16:50:50,24/11/2022 08:12:27,https://diavgeia.gov.gr/doc/61Ν646Ψ842-397,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: : “ΕΚΤΕΛΕΣΗ ΓΕΩΤΕΧΝΙΚΩΝ ΚΑΙ ΓΕΩΦΥΣΙΚΩΝ ΕΡΕΥΝΩΝ, ΓΕΩΤΕΧΝΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΚΑΙ ΓΕΩΤΕΧΝΙΚΕΣ ΜΕΛΕΤΕΣ ΘΕΜΕΛΙΩΣΗΣ ΓΙΑ ΤΟ ΕΡΓΟ « ΠΑΡΑΧΩΡΗΣΗ ΆΔΕΙΑΣ ΛΕΙΤΟΥΡΓΙΑΣ ΕΠΙΧΕΙΡΗΣΗΣ ΚΑΖΙΝΟ(ΕΚΑΖ) ΕΥΡΕΟΣ ΦΑΣΜΑΤΟΣ ΔΡΑΣΤΗΡΙΟΤΗΤΩΝ ΣΤΟΝ ΜΗΤΡΟΠΟΛΙΤΙΚΟ ΠΟΛΟ ΕΛΛΗΝΙΚΟΥ-ΑΓΙΟΥ ΚΟΣΜΑ» ”",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
62Ε846Ψ842-65Τ,562238,21/12/2022 00:07:36,21/12/2022 16:14:35,https://diavgeia.gov.gr/doc/62Ε846Ψ842-65Τ,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΚΑΤΑΣΚΕΥΗ ΕΞΩΤΕΡΙΚΗΣ ΜΕΤΑΛΛΙΚΗΣ ΡΑΜΠΑΣ, ΝΕΕΣ ΜΗΧΑΝΟΛΟΓΙΚΕΣ ΕΓΚΑΤΑΣΤΑΣΕΙΣ, 
ΕΓΚΑΤΑΣΤΑΣΗ ΙΚΡΙΩΜΑΤΩΝ ΠΡΟΣ ΕΠΙΣΚΕΥΗ ΤΩΝ ΟΨΕΩΝ ΑΚΙΝΗΤΟΥ ΣΤΟ ΜΗΤΡΟΠΟΛΙΤΙΚΟ ΠΟΛΟ 
ΕΛΛΗΝΙΚΟΥ ΓΙΑ ΤΗ ΣΤΕΓΑΣΗ ΚΑΙ ΛΕΙΤΟΥΡΓΙΑ ΚENTΡΟΥ ΔΗΜΙΟΥΡΓΙΚΗΣ ΑΠΑΣΧΟΛΗΣΗΣ ΚΔΑΠ- ΑΜΕΑ, ΤΟΥ ΣΥΛΛΟΓΟΥ «ΝΙΚΗ-Victor Ardant»    
",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
6ΙΩΘ46Ψ842-Θ78,555759,14/12/2022 16:47:32,15/12/2022 08:02:23,https://diavgeia.gov.gr/doc/6ΙΩΘ46Ψ842-Θ78,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: “ΕΚΤΕΛΕΣΗ ΓΕΩΤΕΧΝΙΚΩΝ ΚΑΙ ΓΕΩΦΥΣΙΚΩΝ ΕΡΕΥΝΩΝ, ΓΕΩΤΕΧΝΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΚΑΙ ΓΕΩΤΕΧΝΙΚΕΣ ΜΕΛΕΤΕΣ ΘΕΜΕΛΙΩΣΗΣ ΣΤΟ ΧΕΡΣΑΙΟ ΤΜΗΜΑ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ – ΑΓ. ΚΟΣΜΑ- ORILINA. Yacht club and Residences. Hellinikon Marina ”",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
99ΠΝ46Ψ842-9Δ4,592548,31/01/2023 09:33:44,31/01/2023 15:40:07,https://diavgeia.gov.gr/doc/99ΠΝ46Ψ842-9Δ4,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ, ΔΟΚΙΜΑΣΤΙΚΕΣ ΤΟΜΕΣ ΕΔΑΦΟΥΣ ΚΑΙ ΕΚΣΚΑΦΕΣ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ Α-Π6.9 (MAINSTREAM II) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ 
ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
9ΦΠ746Ψ842-ΨΨ7,611047,22/02/2023 16:40:26,23/02/2023 16:24:24,https://diavgeia.gov.gr/doc/9ΦΠ746Ψ842-ΨΨ7,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ ΑΠ1.4 
(HIGH RISE) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
